candidate,office,district,party,county,precinct,votes
,Registered Voters,,D,Camden,Berlin Boro Dist 4,398
,Ballots Cast,,D,Camden,Berlin Boro Dist 4,36
Lisa A MC Cormick,U.S. Senate,,D,Camden,Berlin Boro Dist 4,20
Robert Menendez,U.S. Senate,,D,Camden,Berlin Boro Dist 4,14
Donald W Norcross,U.S. House,1,D,Camden,Berlin Boro Dist 4,26
Scot John Tomaszewski,U.S. House,1,D,Camden,Berlin Boro Dist 4,4
Robert Lee Carlson,U.S. House,1,D,Camden,Berlin Boro Dist 4,1
Jeff Van Drew,U.S. House,2,D,Camden,Berlin Boro Dist 4,
William Cunningham,U.S. House,2,D,Camden,Berlin Boro Dist 4,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Berlin Boro Dist 4,
Nate Kleinman,U.S. House,2,D,Camden,Berlin Boro Dist 4,
,Registered Voters,,D,Camden,Berlin Boro Dist 5,209
,Ballots Cast,,D,Camden,Berlin Boro Dist 5,34
Lisa A MC Cormick,U.S. Senate,,D,Camden,Berlin Boro Dist 5,22
Robert Menendez,U.S. Senate,,D,Camden,Berlin Boro Dist 5,9
Donald W Norcross,U.S. House,1,D,Camden,Berlin Boro Dist 5,16
Scot John Tomaszewski,U.S. House,1,D,Camden,Berlin Boro Dist 5,3
Robert Lee Carlson,U.S. House,1,D,Camden,Berlin Boro Dist 5,7
Jeff Van Drew,U.S. House,2,D,Camden,Berlin Boro Dist 5,
William Cunningham,U.S. House,2,D,Camden,Berlin Boro Dist 5,
Tanzira 'Tanzie' Youngblood,U.S. House,2,D,Camden,Berlin Boro Dist 5,
