county,precinct,office,district,party,candidate,mail,provisional,votes
Monmouth,West Long Branch Borough 6,Registered Voters,,,,,,811
Monmouth,Aberdeen Township,Ballots Cast,,,,10846,479,11325
Monmouth,Allenhurst Borough,Ballots Cast,,,,262,13,275
Monmouth,Allentown Borough,Ballots Cast,,,,1188,42,1230
Monmouth,Asbury Park City,Ballots Cast,,,,5502,507,6009
Monmouth,Atlantic Highlands Borough,Ballots Cast,,,,2945,78,3023
Monmouth,Avon Borough,Ballots Cast,,,,1315,32,1347
Monmouth,Belmar Borough,Ballots Cast,,,,3526,99,3625
Monmouth,Bradley Beach Borough,Ballots Cast,,,,2266,96,2362
Monmouth,Brielle Borough,Ballots Cast,,,,3587,70,3657
Monmouth,Colts Neck Township,Ballots Cast,,,,6778,142,6920
Monmouth,Deal Borough,Ballots Cast,,,,364,23,387
Monmouth,Eatontown Borough,Ballots Cast,,,,6567,276,6843
Monmouth,Englishtown Borough,Ballots Cast,,,,1112,44,1156
Monmouth,Fair Haven Borough,Ballots Cast,,,,4047,90,4137
Monmouth,Farmingdale Borough,Ballots Cast,,,,852,30,882
Monmouth,Freehold Borough,Ballots Cast,,,,4143,119,4262
Monmouth,Freehold Township,Ballots Cast,,,,21546,410,21956
Monmouth,Hazlet Township,Ballots Cast,,,,11933,348,12281
Monmouth,Highlands Borough,Ballots Cast,,,,2785,116,2901
Monmouth,Holmdel Township,Ballots Cast,,,,10842,249,11091
Monmouth,Howell Township,Ballots Cast,,,,31808,610,32418
Monmouth,Interlaken Borough,Ballots Cast,,,,681,16,697
Monmouth,Keansburg Borough,Ballots Cast,,,,3715,256,3971
Monmouth,Keyport Borough,Ballots Cast,,,,3637,169,3806
Monmouth,Lake Como Borough,Ballots Cast,,,,964,25,989
Monmouth,Little Silver Borough,Ballots Cast,,,,4301,100,4401
Monmouth,Loch Arbour Village,Ballots Cast,,,,121,5,126
Monmouth,Long Branch City,Ballots Cast,,,,10671,590,11261
Monmouth,Manalapan Township,Ballots Cast,,,,25316,471,25787
Monmouth,Manasquan Borough,Ballots Cast,,,,4154,106,4260
Monmouth,Marlboro Township,Ballots Cast,,,,25569,577,26146
Monmouth,Matawan Borough,Ballots Cast,,,,4833,246,5079
Monmouth,Middletown Township Cong 4,Ballots Cast,,,,21593,386,21979
Monmouth,Middletown Township Cong 6,Ballots Cast,,,,21532,531,22063
Monmouth,Millstone Township,Ballots Cast,,,,6766,104,6870
Monmouth,Monmouth Beach Borough,Ballots Cast,,,,2381,68,2449
Monmouth,Neptune City Borough,Ballots Cast,,,,2636,122,2758
Monmouth,Neptune Township,Ballots Cast,,,,15600,773,16373
Monmouth,Ocean Township,Ballots Cast,,,,16033,561,16594
Monmouth,Oceanport Borough,Ballots Cast,,,,4109,67,4176
Monmouth,Red Bank Borough,Ballots Cast,,,,5515,200,5715
Monmouth,Roosevelt Borough,Ballots Cast,,,,533,18,551
Monmouth,Rumson Borough,Ballots Cast,,,,4757,123,4880
Monmouth,Sea Bright Borough,Ballots Cast,,,,993,25,1018
Monmouth,Sea Girt Borough,Ballots Cast,,,,1498,20,1518
Monmouth,Shrewsbury Borough,Ballots Cast,,,,2869,32,2901
Monmouth,Shrewsbury Township,Ballots Cast,,,,524,25,549
Monmouth,Spring Lake Borough,Ballots Cast,,,,2227,36,2263
Monmouth,Spring Lake Heights Borough,Ballots Cast,,,,3316,56,3372
Monmouth,Tinton Falls Borough,Ballots Cast,,,,12161,271,12432
Monmouth,Union Beach Borough,Ballots Cast,,,,3149,146,3295
Monmouth,Upper Freehold Township,Ballots Cast,,,,4686,93,4779
Monmouth,Wall Township,Ballots Cast,,,,17697,335,18032
Monmouth,West Long Branch Borough,Ballots Cast,,,,4090,86,4176
Monmouth,Federal Overseas - 4th Congressional District,Ballots Cast,,,,,,602
Monmouth,Federal Overseas - 6th Congressional District,Ballots Cast,,,,,,296
Monmouth,Aberdeen Township,President,,REP,Donald J. Trump,4808,213,5021
Monmouth,Allenhurst Borough,President,,REP,Donald J. Trump,140,5,145
Monmouth,Allentown Borough,President,,REP,Donald J. Trump,492,17,509
Monmouth,Asbury Park City,President,,REP,Donald J. Trump,902,66,968
Monmouth,Atlantic Highlands Borough,President,,REP,Donald J. Trump,1209,34,1243
Monmouth,Avon Borough,President,,REP,Donald J. Trump,647,17,664
Monmouth,Belmar Borough,President,,REP,Donald J. Trump,1726,58,1784
Monmouth,Bradley Beach Borough,President,,REP,Donald J. Trump,876,42,918
Monmouth,Brielle Borough,President,,REP,Donald J. Trump,2136,40,2176
Monmouth,Colts Neck Township,President,,REP,Donald J. Trump,4368,83,4451
Monmouth,Deal Borough,President,,REP,Donald J. Trump,265,17,282
Monmouth,Eatontown Borough,President,,REP,Donald J. Trump,2948,89,3037
Monmouth,Englishtown Borough,President,,REP,Donald J. Trump,642,20,662
Monmouth,Fair Haven Borough,President,,REP,Donald J. Trump,1555,49,1604
Monmouth,Farmingdale Borough,President,,REP,Donald J. Trump,480,21,501
Monmouth,Freehold Borough,President,,REP,Donald J. Trump,1557,28,1585
Monmouth,Freehold Township,President,,REP,Donald J. Trump,11411,207,11618
Monmouth,Hazlet Township,President,,REP,Donald J. Trump,6925,214,7139
Monmouth,Highlands Borough,President,,REP,Donald J. Trump,1315,72,1387
Monmouth,Holmdel Township,President,,REP,Donald J. Trump,5520,134,5654
Monmouth,Howell Township,President,,REP,Donald J. Trump,18134,357,18491
Monmouth,Interlaken Borough,President,,REP,Donald J. Trump,308,12,320
Monmouth,Keansburg Borough,President,,REP,Donald J. Trump,1948,109,2057
Monmouth,Keyport Borough,President,,REP,Donald J. Trump,1796,83,1879
Monmouth,Lake Como Borough,President,,REP,Donald J. Trump,426,10,436
Monmouth,Little Silver Borough,President,,REP,Donald J. Trump,1929,50,1979
Monmouth,Loch Arbour Village,President,,REP,Donald J. Trump,52,0,52
Monmouth,Long Branch City,President,,REP,Donald J. Trump,4161,214,4375
Monmouth,Manalapan Township,President,,REP,Donald J. Trump,14258,276,14534
Monmouth,Manasquan Borough,President,,REP,Donald J. Trump,2192,56,2248
Monmouth,Marlboro Township,President,,REP,Donald J. Trump,12359,333,12692
Monmouth,Matawan Borough,President,,REP,Donald J. Trump,2294,116,2410
Monmouth,Middletown Township Cong 4,President,,REP,Donald J. Trump,11717,220,11937
Monmouth,Middletown Township Cong 6,President,,REP,Donald J. Trump,11986,296,12282
Monmouth,Millstone Township,President,,REP,Donald J. Trump,4222,65,4287
Monmouth,Monmouth Beach Borough,President,,REP,Donald J. Trump,1318,39,1357
Monmouth,Neptune City Borough,President,,REP,Donald J. Trump,1141,47,1188
Monmouth,Neptune Township,President,,REP,Donald J. Trump,4423,149,4572
Monmouth,Ocean Township,President,,REP,Donald J. Trump,7183,239,7422
Monmouth,Oceanport Borough,President,,REP,Donald J. Trump,2283,40,2323
Monmouth,Red Bank Borough,President,,REP,Donald J. Trump,1755,80,1835
Monmouth,Roosevelt Borough,President,,REP,Donald J. Trump,165,5,170
Monmouth,Rumson Borough,President,,REP,Donald J. Trump,2355,68,2423
Monmouth,Sea Bright Borough,President,,REP,Donald J. Trump,511,15,526
Monmouth,Sea Girt Borough,President,,REP,Donald J. Trump,863,8,871
Monmouth,Shrewsbury Borough,President,,REP,Donald J. Trump,1329,14,1343
Monmouth,Shrewsbury Township,President,,REP,Donald J. Trump,186,6,192
Monmouth,Spring Lake Borough,President,,REP,Donald J. Trump,1218,15,1233
Monmouth,Spring Lake Heights Borough,President,,REP,Donald J. Trump,1680,34,1714
Monmouth,Tinton Falls Borough,President,,REP,Donald J. Trump,5487,123,5610
Monmouth,Union Beach Borough,President,,REP,Donald J. Trump,1893,83,1976
Monmouth,Upper Freehold Township,President,,REP,Donald J. Trump,2709,52,2761
Monmouth,Wall Township,President,,REP,Donald J. Trump,10195,203,10398
Monmouth,West Long Branch Borough,President,,REP,Donald J. Trump,2385,59,2444
Monmouth,Aberdeen Township,President,,DEM,Joseph R. Biden,5742,247,5989
Monmouth,Allenhurst Borough,President,,DEM,Joseph R. Biden,114,8,122
Monmouth,Allentown Borough,President,,DEM,Joseph R. Biden,658,22,680
Monmouth,Asbury Park City,President,,DEM,Joseph R. Biden,4355,412,4767
Monmouth,Atlantic Highlands Borough,President,,DEM,Joseph R. Biden,1642,40,1682
Monmouth,Avon Borough,President,,DEM,Joseph R. Biden,635,14,649
Monmouth,Belmar Borough,President,,DEM,Joseph R. Biden,1679,37,1716
Monmouth,Bradley Beach Borough,President,,DEM,Joseph R. Biden,1307,51,1358
Monmouth,Brielle Borough,President,,DEM,Joseph R. Biden,1342,25,1367
Monmouth,Colts Neck Township,President,,DEM,Joseph R. Biden,2256,53,2309
Monmouth,Deal Borough,President,,DEM,Joseph R. Biden,95,6,101
Monmouth,Eatontown Borough,President,,DEM,Joseph R. Biden,3403,170,3573
Monmouth,Englishtown Borough,President,,DEM,Joseph R. Biden,450,23,473
Monmouth,Fair Haven Borough,President,,DEM,Joseph R. Biden,2356,36,2392
Monmouth,Farmingdale Borough,President,,DEM,Joseph R. Biden,345,7,352
Monmouth,Freehold Borough,President,,DEM,Joseph R. Biden,2438,83,2521
Monmouth,Freehold Township,President,,DEM,Joseph R. Biden,9609,182,9791
Monmouth,Hazlet Township,President,,DEM,Joseph R. Biden,4655,124,4779
Monmouth,Highlands Borough,President,,DEM,Joseph R. Biden,1389,40,1429
Monmouth,Holmdel Township,President,,DEM,Joseph R. Biden,4996,96,5092
Monmouth,Howell Township,President,,DEM,Joseph R. Biden,12774,230,13004
Monmouth,Interlaken Borough,President,,DEM,Joseph R. Biden,362,4,366
Monmouth,Keansburg Borough,President,,DEM,Joseph R. Biden,1649,129,1778
Monmouth,Keyport Borough,President,,DEM,Joseph R. Biden,1715,78,1793
Monmouth,Lake Como Borough,President,,DEM,Joseph R. Biden,515,11,526
Monmouth,Little Silver Borough,President,,DEM,Joseph R. Biden,2239,41,2280
Monmouth,Loch Arbour Village,President,,DEM,Joseph R. Biden,68,3,71
Monmouth,Long Branch City,President,,DEM,Joseph R. Biden,6160,339,6499
Monmouth,Manalapan Township,President,,DEM,Joseph R. Biden,10534,174,10708
Monmouth,Manasquan Borough,President,,DEM,Joseph R. Biden,1829,45,1874
Monmouth,Marlboro Township,President,,DEM,Joseph R. Biden,12644,216,12860
Monmouth,Matawan Borough,President,,DEM,Joseph R. Biden,2382,115,2497
Monmouth,Middletown Township Cong 4,President,,DEM,Joseph R. Biden,9288,156,9444
Monmouth,Middletown Township Cong 6,President,,DEM,Joseph R. Biden,8931,207,9138
Monmouth,Millstone Township,President,,DEM,Joseph R. Biden,2378,35,2413
Monmouth,Monmouth Beach Borough,President,,DEM,Joseph R. Biden,998,26,1024
Monmouth,Neptune City Borough,President,,DEM,Joseph R. Biden,1417,64,1481
Monmouth,Neptune Township,President,,DEM,Joseph R. Biden,10640,578,11218
Monmouth,Ocean Township,President,,DEM,Joseph R. Biden,8393,288,8681
Monmouth,Oceanport Borough,President,,DEM,Joseph R. Biden,1724,24,1748
Monmouth,Red Bank Borough,President,,DEM,Joseph R. Biden,3607,106,3713
Monmouth,Roosevelt Borough,President,,DEM,Joseph R. Biden,354,11,365
Monmouth,Rumson Borough,President,,DEM,Joseph R. Biden,2236,50,2286
Monmouth,Sea Bright Borough,President,,DEM,Joseph R. Biden,450,8,458
Monmouth,Sea Girt Borough,President,,DEM,Joseph R. Biden,577,11,588
Monmouth,Shrewsbury Borough,President,,DEM,Joseph R. Biden,1448,15,1463
Monmouth,Shrewsbury Township,President,,DEM,Joseph R. Biden,322,16,338
Monmouth,Spring Lake Borough,President,,DEM,Joseph R. Biden,930,18,948
Monmouth,Spring Lake Heights Borough,President,,DEM,Joseph R. Biden,1531,17,1548
Monmouth,Tinton Falls Borough,President,,DEM,Joseph R. Biden,6359,136,6495
Monmouth,Union Beach Borough,President,,DEM,Joseph R. Biden,1156,58,1214
Monmouth,Upper Freehold Township,President,,DEM,Joseph R. Biden,1848,33,1881
Monmouth,Wall Township,President,,DEM,Joseph R. Biden,6983,113,7096
Monmouth,West Long Branch Borough,President,,DEM,Joseph R. Biden,1579,23,1602
Monmouth,Aberdeen Township,President,,GRE,Howie Hawkins,50,1,51
Monmouth,Allenhurst Borough,President,,GRE,Howie Hawkins,1,0,1
Monmouth,Allentown Borough,President,,GRE,Howie Hawkins,3,0,3
Monmouth,Asbury Park City,President,,GRE,Howie Hawkins,27,2,29
Monmouth,Atlantic Highlands Borough,President,,GRE,Howie Hawkins,14,0,14
Monmouth,Avon Borough,President,,GRE,Howie Hawkins,4,0,4
Monmouth,Belmar Borough,President,,GRE,Howie Hawkins,22,2,24
Monmouth,Bradley Beach Borough,President,,GRE,Howie Hawkins,12,1,13
Monmouth,Brielle Borough,President,,GRE,Howie Hawkins,7,1,8
Monmouth,Colts Neck Township,President,,GRE,Howie Hawkins,13,0,13
Monmouth,Deal Borough,President,,GRE,Howie Hawkins,0,0,0
Monmouth,Eatontown Borough,President,,GRE,Howie Hawkins,27,2,29
Monmouth,Englishtown Borough,President,,GRE,Howie Hawkins,6,0,6
Monmouth,Fair Haven Borough,President,,GRE,Howie Hawkins,11,0,11
Monmouth,Farmingdale Borough,President,,GRE,Howie Hawkins,7,1,8
Monmouth,Freehold Borough,President,,GRE,Howie Hawkins,19,0,19
Monmouth,Freehold Township,President,,GRE,Howie Hawkins,65,5,70
Monmouth,Hazlet Township,President,,GRE,Howie Hawkins,43,1,44
Monmouth,Highlands Borough,President,,GRE,Howie Hawkins,8,1,9
Monmouth,Holmdel Township,President,,GRE,Howie Hawkins,33,1,34
Monmouth,Howell Township,President,,GRE,Howie Hawkins,108,1,109
Monmouth,Interlaken Borough,President,,GRE,Howie Hawkins,4,0,4
Monmouth,Keansburg Borough,President,,GRE,Howie Hawkins,21,2,23
Monmouth,Keyport Borough,President,,GRE,Howie Hawkins,15,4,19
Monmouth,Lake Como Borough,President,,GRE,Howie Hawkins,4,3,7
Monmouth,Little Silver Borough,President,,GRE,Howie Hawkins,12,2,14
Monmouth,Loch Arbour Village,President,,GRE,Howie Hawkins,0,0,0
Monmouth,Long Branch City,President,,GRE,Howie Hawkins,44,4,48
Monmouth,Manalapan Township,President,,GRE,Howie Hawkins,55,3,58
Monmouth,Manasquan Borough,President,,GRE,Howie Hawkins,25,1,26
Monmouth,Marlboro Township,President,,GRE,Howie Hawkins,58,2,60
Monmouth,Matawan Borough,President,,GRE,Howie Hawkins,27,2,29
Monmouth,Middletown Township Cong 4,President,,GRE,Howie Hawkins,74,1,75
Monmouth,Middletown Township Cong 6,President,,GRE,Howie Hawkins,100,5,105
Monmouth,Millstone Township,President,,GRE,Howie Hawkins,18,1,19
Monmouth,Monmouth Beach Borough,President,,GRE,Howie Hawkins,4,0,4
Monmouth,Neptune City Borough,President,,GRE,Howie Hawkins,11,0,11
Monmouth,Neptune Township,President,,GRE,Howie Hawkins,67,4,71
Monmouth,Ocean Township,President,,GRE,Howie Hawkins,63,1,64
Monmouth,Oceanport Borough,President,,GRE,Howie Hawkins,13,0,13
Monmouth,Red Bank Borough,President,,GRE,Howie Hawkins,28,4,32
Monmouth,Roosevelt Borough,President,,GRE,Howie Hawkins,2,1,3
Monmouth,Rumson Borough,President,,GRE,Howie Hawkins,15,1,16
Monmouth,Sea Bright Borough,President,,GRE,Howie Hawkins,5,0,5
Monmouth,Sea Girt Borough,President,,GRE,Howie Hawkins,1,0,1
Monmouth,Shrewsbury Borough,President,,GRE,Howie Hawkins,3,0,3
Monmouth,Shrewsbury Township,President,,GRE,Howie Hawkins,4,0,4
Monmouth,Spring Lake Borough,President,,GRE,Howie Hawkins,7,1,8
Monmouth,Spring Lake Heights Borough,President,,GRE,Howie Hawkins,13,0,13
Monmouth,Tinton Falls Borough,President,,GRE,Howie Hawkins,44,2,46
Monmouth,Union Beach Borough,President,,GRE,Howie Hawkins,13,2,15
Monmouth,Upper Freehold Township,President,,GRE,Howie Hawkins,15,1,16
Monmouth,Wall Township,President,,GRE,Howie Hawkins,69,3,72
Monmouth,West Long Branch Borough,President,,GRE,Howie Hawkins,25,1,26
Monmouth,Aberdeen Township,President,,,Bill Hammons,14,0,14
Monmouth,Allenhurst Borough,President,,,Bill Hammons,0,0,0
Monmouth,Allentown Borough,President,,,Bill Hammons,1,0,1
Monmouth,Asbury Park City,President,,,Bill Hammons,5,0,5
Monmouth,Atlantic Highlands Borough,President,,,Bill Hammons,3,0,3
Monmouth,Avon Borough,President,,,Bill Hammons,2,0,2
Monmouth,Belmar Borough,President,,,Bill Hammons,5,0,5
Monmouth,Bradley Beach Borough,President,,,Bill Hammons,4,0,4
Monmouth,Brielle Borough,President,,,Bill Hammons,5,0,5
Monmouth,Colts Neck Township,President,,,Bill Hammons,8,1,9
Monmouth,Deal Borough,President,,,Bill Hammons,0,0,0
Monmouth,Eatontown Borough,President,,,Bill Hammons,5,0,5
Monmouth,Englishtown Borough,President,,,Bill Hammons,0,0,0
Monmouth,Fair Haven Borough,President,,,Bill Hammons,5,0,5
Monmouth,Farmingdale Borough,President,,,Bill Hammons,0,0,0
Monmouth,Freehold Borough,President,,,Bill Hammons,1,0,1
Monmouth,Freehold Township,President,,,Bill Hammons,25,0,25
Monmouth,Hazlet Township,President,,,Bill Hammons,13,0,13
Monmouth,Highlands Borough,President,,,Bill Hammons,1,0,1
Monmouth,Holmdel Township,President,,,Bill Hammons,8,0,8
Monmouth,Howell Township,President,,,Bill Hammons,31,0,31
Monmouth,Interlaken Borough,President,,,Bill Hammons,0,0,0
Monmouth,Keansburg Borough,President,,,Bill Hammons,2,0,2
Monmouth,Keyport Borough,President,,,Bill Hammons,7,0,7
Monmouth,Lake Como Borough,President,,,Bill Hammons,0,0,0
Monmouth,Little Silver Borough,President,,,Bill Hammons,5,0,5
Monmouth,Loch Arbour Village,President,,,Bill Hammons,0,0,0
Monmouth,Long Branch City,President,,,Bill Hammons,7,0,7
Monmouth,Manalapan Township,President,,,Bill Hammons,11,0,11
Monmouth,Manasquan Borough,President,,,Bill Hammons,7,0,7
Monmouth,Marlboro Township,President,,,Bill Hammons,19,0,19
Monmouth,Matawan Borough,President,,,Bill Hammons,1,0,1
Monmouth,Middletown Township Cong 4,President,,,Bill Hammons,22,0,22
Monmouth,Middletown Township Cong 6,President,,,Bill Hammons,23,1,24
Monmouth,Millstone Township,President,,,Bill Hammons,5,0,5
Monmouth,Monmouth Beach Borough,President,,,Bill Hammons,0,0,0
Monmouth,Neptune City Borough,President,,,Bill Hammons,1,0,1
Monmouth,Neptune Township,President,,,Bill Hammons,17,1,18
Monmouth,Ocean Township,President,,,Bill Hammons,6,0,6
Monmouth,Oceanport Borough,President,,,Bill Hammons,3,0,3
Monmouth,Red Bank Borough,President,,,Bill Hammons,4,0,4
Monmouth,Roosevelt Borough,President,,,Bill Hammons,0,0,0
Monmouth,Rumson Borough,President,,,Bill Hammons,3,0,3
Monmouth,Sea Bright Borough,President,,,Bill Hammons,0,0,0
Monmouth,Sea Girt Borough,President,,,Bill Hammons,3,0,3
Monmouth,Shrewsbury Borough,President,,,Bill Hammons,4,0,4
Monmouth,Shrewsbury Township,President,,,Bill Hammons,0,0,0
Monmouth,Spring Lake Borough,President,,,Bill Hammons,2,0,2
Monmouth,Spring Lake Heights Borough,President,,,Bill Hammons,2,0,2
Monmouth,Tinton Falls Borough,President,,,Bill Hammons,9,0,9
Monmouth,Union Beach Borough,President,,,Bill Hammons,1,0,1
Monmouth,Upper Freehold Township,President,,,Bill Hammons,9,0,9
Monmouth,Wall Township,President,,,Bill Hammons,23,0,23
Monmouth,West Long Branch Borough,President,,,Bill Hammons,5,0,5
Monmouth,Aberdeen Township,President,,CON,Don Blankenship,5,0,5
Monmouth,Allenhurst Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Allentown Borough,President,,CON,Don Blankenship,1,0,1
Monmouth,Asbury Park City,President,,CON,Don Blankenship,0,0,0
Monmouth,Atlantic Highlands Borough,President,,CON,Don Blankenship,4,0,4
Monmouth,Avon Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Belmar Borough,President,,CON,Don Blankenship,3,0,3
Monmouth,Bradley Beach Borough,President,,CON,Don Blankenship,3,0,3
Monmouth,Brielle Borough,President,,CON,Don Blankenship,5,0,5
Monmouth,Colts Neck Township,President,,CON,Don Blankenship,3,0,3
Monmouth,Deal Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Eatontown Borough,President,,CON,Don Blankenship,9,0,9
Monmouth,Englishtown Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Fair Haven Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Farmingdale Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Freehold Borough,President,,CON,Don Blankenship,3,0,3
Monmouth,Freehold Township,President,,CON,Don Blankenship,6,0,6
Monmouth,Hazlet Township,President,,CON,Don Blankenship,7,0,7
Monmouth,Highlands Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Holmdel Township,President,,CON,Don Blankenship,8,1,9
Monmouth,Howell Township,President,,CON,Don Blankenship,22,0,22
Monmouth,Interlaken Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Keansburg Borough,President,,CON,Don Blankenship,2,1,3
Monmouth,Keyport Borough,President,,CON,Don Blankenship,1,1,2
Monmouth,Lake Como Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Little Silver Borough,President,,CON,Don Blankenship,3,0,3
Monmouth,Loch Arbour Village,President,,CON,Don Blankenship,0,0,0
Monmouth,Long Branch City,President,,CON,Don Blankenship,5,0,5
Monmouth,Manalapan Township,President,,CON,Don Blankenship,8,2,10
Monmouth,Manasquan Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Marlboro Township,President,,CON,Don Blankenship,12,0,12
Monmouth,Matawan Borough,President,,CON,Don Blankenship,7,0,7
Monmouth,Middletown Township Cong 4,President,,CON,Don Blankenship,10,1,11
Monmouth,Middletown Township Cong 6,President,,CON,Don Blankenship,13,1,14
Monmouth,Millstone Township,President,,CON,Don Blankenship,0,0,0
Monmouth,Monmouth Beach Borough,President,,CON,Don Blankenship,1,0,1
Monmouth,Neptune City Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Neptune Township,President,,CON,Don Blankenship,14,1,15
Monmouth,Ocean Township,President,,CON,Don Blankenship,12,0,12
Monmouth,Oceanport Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Red Bank Borough,President,,CON,Don Blankenship,3,0,3
Monmouth,Roosevelt Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Rumson Borough,President,,CON,Don Blankenship,5,0,5
Monmouth,Sea Bright Borough,President,,CON,Don Blankenship,0,0,0
Monmouth,Sea Girt Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Shrewsbury Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Shrewsbury Township,President,,CON,Don Blankenship,0,1,1
Monmouth,Spring Lake Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Spring Lake Heights Borough,President,,CON,Don Blankenship,1,0,1
Monmouth,Tinton Falls Borough,President,,CON,Don Blankenship,5,0,5
Monmouth,Union Beach Borough,President,,CON,Don Blankenship,2,0,2
Monmouth,Upper Freehold Township,President,,CON,Don Blankenship,1,0,1
Monmouth,Wall Township,President,,CON,Don Blankenship,19,0,19
Monmouth,West Long Branch Borough,President,,CON,Don Blankenship,1,0,1
Monmouth,Aberdeen Township,President,,,Gloria La Riva,5,1,6
Monmouth,Allenhurst Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Allentown Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Asbury Park City,President,,,Gloria La Riva,12,4,16
Monmouth,Atlantic Highlands Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Avon Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Belmar Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Bradley Beach Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Brielle Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Colts Neck Township,President,,,Gloria La Riva,2,0,2
Monmouth,Deal Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Eatontown Borough,President,,,Gloria La Riva,6,1,7
Monmouth,Englishtown Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Fair Haven Borough,President,,,Gloria La Riva,0,1,1
Monmouth,Farmingdale Borough,President,,,Gloria La Riva,2,0,2
Monmouth,Freehold Borough,President,,,Gloria La Riva,3,0,3
Monmouth,Freehold Township,President,,,Gloria La Riva,10,0,10
Monmouth,Hazlet Township,President,,,Gloria La Riva,11,0,11
Monmouth,Highlands Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Holmdel Township,President,,,Gloria La Riva,7,0,7
Monmouth,Howell Township,President,,,Gloria La Riva,17,0,17
Monmouth,Interlaken Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Keansburg Borough,President,,,Gloria La Riva,3,0,3
Monmouth,Keyport Borough,President,,,Gloria La Riva,2,0,2
Monmouth,Lake Como Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Little Silver Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Loch Arbour Village,President,,,Gloria La Riva,0,0,0
Monmouth,Long Branch City,President,,,Gloria La Riva,7,0,7
Monmouth,Manalapan Township,President,,,Gloria La Riva,6,0,6
Monmouth,Manasquan Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Marlboro Township,President,,,Gloria La Riva,8,0,8
Monmouth,Matawan Borough,President,,,Gloria La Riva,3,2,5
Monmouth,Middletown Township Cong 4,President,,,Gloria La Riva,3,0,3
Monmouth,Middletown Township Cong 6,President,,,Gloria La Riva,9,0,9
Monmouth,Millstone Township,President,,,Gloria La Riva,1,0,1
Monmouth,Monmouth Beach Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Neptune City Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Neptune Township,President,,,Gloria La Riva,7,0,7
Monmouth,Ocean Township,President,,,Gloria La Riva,5,0,5
Monmouth,Oceanport Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Red Bank Borough,President,,,Gloria La Riva,3,1,4
Monmouth,Roosevelt Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Rumson Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Sea Bright Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Sea Girt Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Shrewsbury Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Shrewsbury Township,President,,,Gloria La Riva,2,0,2
Monmouth,Spring Lake Borough,President,,,Gloria La Riva,1,0,1
Monmouth,Spring Lake Heights Borough,President,,,Gloria La Riva,2,0,2
Monmouth,Tinton Falls Borough,President,,,Gloria La Riva,8,1,9
Monmouth,Union Beach Borough,President,,,Gloria La Riva,1,1,2
Monmouth,Upper Freehold Township,President,,,Gloria La Riva,1,0,1
Monmouth,Wall Township,President,,,Gloria La Riva,8,0,8
Monmouth,West Long Branch Borough,President,,,Gloria La Riva,0,0,0
Monmouth,Aberdeen Township,President,,LBT,Jo Jorgensen,65,6,71
Monmouth,Allenhurst Borough,President,,LBT,Jo Jorgensen,3,0,3
Monmouth,Allentown Borough,President,,LBT,Jo Jorgensen,11,0,11
Monmouth,Asbury Park City,President,,LBT,Jo Jorgensen,38,3,41
Monmouth,Atlantic Highlands Borough,President,,LBT,Jo Jorgensen,32,1,33
Monmouth,Avon Borough,President,,LBT,Jo Jorgensen,4,0,4
Monmouth,Belmar Borough,President,,LBT,Jo Jorgensen,38,0,38
Monmouth,Bradley Beach Borough,President,,LBT,Jo Jorgensen,18,1,19
Monmouth,Brielle Borough,President,,LBT,Jo Jorgensen,21,2,23
Monmouth,Colts Neck Township,President,,LBT,Jo Jorgensen,49,1,50
