county,precinct,office,district,party,candidate,votes,trump,clinton,castle,johnson,la riva,de la fuente,moorehead,stein,kennedy,write-in
Camden,Runnemede Dist 3,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Runnemede Dist 4,President,,Libertarian,Gary Johnson,4,,,,,,,,,,
Camden,Runnemede Dist 5,President,,Libertarian,Gary Johnson,17,,,,,,,,,,
Camden,Runnemede Dist 6,President,,Libertarian,Gary Johnson,13,,,,,,,,,,
Camden,Runnemede Mail-In Ballot,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Runnemede Provisional,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Runnemede Emergency Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Runnemede Borough,President,,Libertarian,Gary Johnson,81,,,,,,,,,,
Camden,Somerdale Dist 1,President,,Libertarian,Gary Johnson,15,,,,,,,,,,
Camden,Somerdale Dist 2,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Somerdale Dist 3,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Somerdale Dist 4,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Somerdale Mail-In Ballot,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Somerdale Provisional,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Somerdale Emergency Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Somerdale Borough,President,,Libertarian,Gary Johnson,46,,,,,,,,,,
Camden,Stratford Dist 1,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Stratford Dist 2,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Stratford Dist 3,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Stratford Dist 4,President,,Libertarian,Gary Johnson,16,,,,,,,,,,
Camden,Stratford Dist 5,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Stratford Dist 6,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Stratford Mail-In Ballot,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Stratford Provisional,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Stratford Emergency Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Stratford Borough,President,,Libertarian,Gary Johnson,78,,,,,,,,,,
Camden,Tavistock Dist 1,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Tavistock Mail-In Ballot,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Tavistock Provisional,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Tavistock Borough,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Voorhees Dist 1,President,,Libertarian,Gary Johnson,18,,,,,,,,,,
Camden,Voorhees Dist 2,President,,Libertarian,Gary Johnson,20,,,,,,,,,,
Camden,Voorhees Dist 3,President,,Libertarian,Gary Johnson,12,,,,,,,,,,
Camden,Voorhees Dist 4,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Voorhees Dist 5,President,,Libertarian,Gary Johnson,16,,,,,,,,,,
Camden,Voorhees Dist 6,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Voorhees Dist 7,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Voorhees Dist 8,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Voorhees Dist 9,President,,Libertarian,Gary Johnson,21,,,,,,,,,,
Camden,Voorhees Dist 10,President,,Libertarian,Gary Johnson,6,,,,,,,,,,
Camden,Voorhees Dist 11,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Voorhees Dist 12,President,,Libertarian,Gary Johnson,15,,,,,,,,,,
Camden,Voorhees Dist 13,President,,Libertarian,Gary Johnson,16,,,,,,,,,,
Camden,Voorhees Dist 14,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Voorhees Dist 15,President,,Libertarian,Gary Johnson,12,,,,,,,,,,
Camden,Voorhees Dist 16,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Voorhees Dist 17,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Voorhees Dist 18,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Voorhees Dist 19,President,,Libertarian,Gary Johnson,4,,,,,,,,,,
Camden,Voorhees Mail-In Ballot,President,,Libertarian,Gary Johnson,73,,,,,,,,,,
Camden,Voorhees Provisional,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Voorhees Emergency Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Voorhees Twp,President,,Libertarian,Gary Johnson,294,,,,,,,,,,
Camden,Waterford Dist 1,President,,Libertarian,Gary Johnson,21,,,,,,,,,,
Camden,Waterford Dist 2,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Waterford Dist 3,President,,Libertarian,Gary Johnson,13,,,,,,,,,,
Camden,Waterford Dist 4,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Waterford Dist 5,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Waterford Dist 6,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Waterford Dist 7,President,,Libertarian,Gary Johnson,22,,,,,,,,,,
Camden,Waterford Dist 8,President,,Libertarian,Gary Johnson,4,,,,,,,,,,
Camden,Waterford Mail-In Ballot,President,,Libertarian,Gary Johnson,26,,,,,,,,,,
Camden,Waterford Provisional,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Waterford Emergency Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Waterford Twp,President,,Libertarian,Gary Johnson,122,,,,,,,,,,
Camden,Winslow W1 D1,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Winslow W1 D2,President,,Libertarian,Gary Johnson,14,,,,,,,,,,
Camden,Winslow W1 D3,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Winslow W1 D4,President,,Libertarian,Gary Johnson,19,,,,,,,,,,
Camden,Winslow W1 D5,President,,Libertarian,Gary Johnson,12,,,,,,,,,,
Camden,Winslow W1 D6,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Winslow Ward 1 Mail-In Ballot,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Winslow Ward 1 Provisional,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow W1 Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow W2 D1,President,,Libertarian,Gary Johnson,12,,,,,,,,,,
Camden,Winslow W2 D2,President,,Libertarian,Gary Johnson,9,,,,,,,,,,
Camden,Winslow W2 D3,President,,Libertarian,Gary Johnson,20,,,,,,,,,,
Camden,Winslow W2 D4,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Winslow W2 D5,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Winslow W2 D6,President,,Libertarian,Gary Johnson,6,,,,,,,,,,
Camden,Winslow Ward 2 Mail-In Ballot,President,,Libertarian,Gary Johnson,21,,,,,,,,,,
Camden,Winslow Ward 2 Provisional,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Winslow W2 Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow W3 D1,President,,Libertarian,Gary Johnson,3,,,,,,,,,,
Camden,Winslow W3 D2,President,,Libertarian,Gary Johnson,5,,,,,,,,,,
Camden,Winslow W3 D3,President,,Libertarian,Gary Johnson,8,,,,,,,,,,
Camden,Winslow W3 D4,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Winslow  W3 D5,President,,Libertarian,Gary Johnson,2,,,,,,,,,,
Camden,Winslow Ward 3 Mail-In Ballot,President,,Libertarian,Gary Johnson,3,,,,,,,,,,
Camden,Winslow Ward 3 Provisional,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow W3 Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow W4 D1,President,,Libertarian,Gary Johnson,5,,,,,,,,,,
Camden,Winslow W4 D2,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Winslow W4 D3,President,,Libertarian,Gary Johnson,5,,,,,,,,,,
Camden,Winslow W4 D4,President,,Libertarian,Gary Johnson,15,,,,,,,,,,
Camden,Winslow W4 D5,President,,Libertarian,Gary Johnson,7,,,,,,,,,,
Camden,Winslow Ward 4 Mail-In Ballot,President,,Libertarian,Gary Johnson,10,,,,,,,,,,
Camden,Winslow Ward 4 Provisional,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Winslow W4 Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Winslow Twp,President,,Libertarian,Gary Johnson,249,,,,,,,,,,
Camden,Woodlynne Dist 1,President,,Libertarian,Gary Johnson,5,,,,,,,,,,
Camden,Woodlynne Dist 2,President,,Libertarian,Gary Johnson,5,,,,,,,,,,
Camden,Woodlynne Mail-In Ballot,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Woodlynne Provisional,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Woodlynne Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Woodlynne Borough,President,,Libertarian,Gary Johnson,11,,,,,,,,,,
Camden,Fed Overseas 1st Cong Dist,President,,Libertarian,Gary Johnson,1,,,,,,,,,,
Camden,Fed Overseas 2nd Cong Dist,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,TC-Election Day,President,,Libertarian,Gary Johnson,3408,,,,,,,,,,
Camden,TC-Emergency,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,TC-Mail-In Ballot,President,,Libertarian,Gary Johnson,754,,,,,,,,,,
Camden,TC-Provisional,President,,Libertarian,Gary Johnson,83,,,,,,,,,,
Camden,TC-Rejected Ballots,President,,Libertarian,Gary Johnson,,,,,,,,,,,
Camden,Contest Total,President,,Libertarian,Gary Johnson,4245,,,,,,,,,,
Camden,Audubon Boro Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Dist 7,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Audubon Boro Dist 8,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Boro Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Borough,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Audubon Park Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Park Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Park Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Park Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Audubon Park Borough,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Dist 4,President,,Socialism and Liberation,Gloria La Riva,2,,,,,,,,,,
Camden,Barrington Dist 5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Barrington Borough,President,,Socialism and Liberation,Gloria La Riva,2,,,,,,,,,,
Camden,Bellmawr Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Dist 7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Bellmawr Borough,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Dist 4,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Berlin Boro Dist 5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Boro Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Borough,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Berlin Twp Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp Dist 3,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Berlin Twp Dist 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Berlin Twp,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Brooklawn Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Brooklawn Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Brooklawn Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Brooklawn Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Brooklawn Borough,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D8,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D9,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 D10,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City Ward 1 Mail-In,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden CIty Ward 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W1 Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D8,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D9,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D10,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 D11,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City Ward 2 Mail-In,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City Ward 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W2 Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D8,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 D9,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City Ward 3 Mail-In,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Camden City Ward 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W3 Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D8,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D9,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 D10,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City Ward 4 Mail-In,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Camden City Ward 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Camden City W4 Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,City of Camden,President,,Socialism and Liberation,Gloria La Riva,2,,,,,,,,,,
Camden,Cherry Hill Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 5,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 6,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 7,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 8,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Cherry Hill Dist 9,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 10,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 11,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 12,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 13,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 14,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 15,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 16,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 17,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Cherry Hill Dist 18,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 19,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 20,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 21,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 22,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 23,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 24,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 25,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 26,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 27,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 28,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 29,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 30,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 31,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 32,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 33,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Cherry Hill Dist 34,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 35,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Cherry Hill Dist 36,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 37,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 38,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 39,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 40,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 41,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 42,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 43,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 44,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 45,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 46,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 47,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Dist 48,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
Camden,Cherry Hill Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Cherry Hill Twp,President,,Socialism and Liberation,Gloria La Riva,5,,,,,,,,,,
Camden,Chesilhurst Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Chesilhurst Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Chesilhurst Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Chesilhurst Emergency,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Chesilhurst Borough,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Mail-In Ballot,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Provisional,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Emergency Ballots,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Clementon Borough,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Collingswood Dist 1,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Collingswood Dist 2,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Collingswood Dist 3,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Collingswood Dist 4,President,,Socialism and Liberation,Gloria La Riva,,,,,,,,,,,
Camden,Collingswood Dist 5,President,,Socialism and Liberation,Gloria La Riva,1,,,,,,,,,,
